DATE,VOUCHERTYPENAME,VOUCHERNUMBER,Reference,Cost_Category,NARRATION,Buyer_Name,Address_1,Address_2,Address_3,Address_4,Pincode,State_Name,Registration_Type,Company_GSTIN,POS,Country,DebitLedger,AmountDebitLedger,Commission_for_facilitation_of_FYND_platform,Cost_Centre_Commission,IGST Outward-MH,SGST Outward-MH,CGST Outward-MH
20260511,VAR-INV,FC-I-A00422-FY27,FC-I-A00422-FY27,Commerce India,Invoice for Transaction Fees & charges for the month of April-26 for Nexus Storefront - COD,CHOGORI INDIA RETAIL LTD,"First Floor Phoenix Market City, Shop No. F-58/A Nagar Airport Road, PUNE, Pune, Maharashtra, 411014",emp,emp,emp,411014,Maharashtra,Regular,27AADCC2405P1ZL,Maharashtra,India,10060_Chogori India Retail Ltd_C,-573.05,485.63,Nex_B2C_Tra_CI,0,43.71,43.71
20260511,VAR-INV,FC-I-A00423-FY27,FC-I-A00423-FY27,Commerce India,Invoice for Transaction Fees & charges for the month of April-26 for Nexus Storefront - COD,RELIANCE RETAIL LIMITED,"Reliance Corporate Park ,Thane Belapur Road,5 TTC Industrial Area Ghansoli,Navi Mumbai,Maharashtra",emp,emp,emp,400701,Maharashtra,Regular,27AABCR1718E1ZP,Maharashtra,India,4835_RELIANCE RETAIL LIMITED_C,-14965.3,12682.46,Nex_B2C_Tra_CI,0,1141.42,1141.42
20260511,VAR-INV,FC-I-A00424-FY27,FC-I-A00424-FY27,Commerce India,Invoice for Transaction Fees & charges for the month of April-26 for Nexus Storefront - COD,REGAL BRANDS PRIVATE LIMITED,"First Floor, New Era House Mogul Lane, Matunga West Mumbai, Mumbai, Maharashtra, 400016",emp,emp,emp,400016,Maharashtra,Regular,27AANCR1479C1Z7,Maharashtra,India,1137_Regal Brands Private Limited_C,-421.42,357.14,Nex_B2C_Tra_CI,0,32.14,32.14
20260511,VAR-INV,FC-I-A00425-FY27,FC-I-A00425-FY27,Commerce India,Invoice for Transaction Fees & charges for the month of April-26 for Nexus Storefront - COD,QUEST RETAIL PRIVATE LIMITED,"Ground Floor, Unit No G 48 Inorbit Mall Malad, Linking Road Mumbai, Mumbai Subur Maharashtra, 400064",emp,emp,emp,400064,Maharashtra,Regular,27AAACQ1315K1ZL,Maharashtra,India,10219_Quest Retail Pvt Ltd_C,-319.27,270.57,Nex_B2C_Tra_CI,0,24.35,24.35
20260511,VAR-INV,FC-I-A00426-FY27,FC-I-A00426-FY27,Commerce India,Invoice for Transaction Fees & charges for the month of April-26 for Nexus Storefront - COD,HIDESIGN INDIA PRIVATE LIMITED,"1st Floor, No-5 AH1 Cama Estate, New Sun Compound Balbhat Road,Goregoan East, Mumbai,Maharashtra",emp,emp,emp,400063,Maharashtra,Regular,27AACCH0586R1ZZ,Maharashtra,India,10085_Hidesign India Private Limited_C,-770.59,653.05,Nex_B2C_Tra_CI,0,58.77,58.77
20260511,VAR-INV,FC-I-A00427-FY27,FC-I-A00427-FY27,Commerce India,Invoice for Transaction Fees & charges for the month of April-26 for Nexus Storefront - COD,FOREVER NEW APPARELS PRIVATE LIMITED,"LOWER GROUND FLOOR, UNIT NO - 6 PHOENIX PALLADIUM MALL, BLOCK 34/14B 462 SENAPAT Maharashtra, 400013",emp,emp,emp,400013,Maharashtra,Regular,27AABCF0689C1ZT,Maharashtra,India,10552_Forever New Apparels Private Limited_C,-352.43,298.67,Nex_B2C_Tra_CI,0,26.88,26.88
20260511,VAR-INV,FC-I-A00428-FY27,FC-I-A00428-FY27,Commerce India,Invoice for Transaction Fees & charges for the month of April-26 for Nexus Storefront - COD,ADITYA BIRLA FASHION AND RETAIL LIMITED,"4th and 5th FLOOR, Pantaloons Office Agastya, Agastya Corporate Park Sunder Bung Maharashtra, 400070",emp,emp,emp,400070,Maharashtra,Regular,27AAECP2371C1ZP,Maharashtra,India,10857_Aditya Birla Fashion And Retail Limited_C,-5528.19,4684.91,Nex_B2C_Tra_CI,0,421.64,421.64
20260511,VAR-INV,FC-I-A00429-FY27,FC-I-A00429-FY27,Commerce India,Invoice for Transaction Fees & charges for the month of April-26 for Nexus Storefront - PPD,RELIANCE RETAIL LIMITED,"Reliance Corporate Park ,Thane Belapur Road,5 TTC Industrial Area Ghansoli,Navi Mumbai,Maharashtra",emp,emp,emp,400701,Maharashtra,Regular,27AABCR1718E1ZP,Maharashtra,India,4835_RELIANCE RETAIL LIMITED_C,-30513.63,25859.01,Nex_B2C_Tra_CI,0,2327.31,2327.31
20260511,VAR-INV,FC-I-A00430-FY27,FC-I-A00430-FY27,Reliance,Invoice for Transaction Fees & charges for the month of April-26 for Nexus Storefront - PPD,RELIANCE BRANDS LIMITED,"E-71, FLOOR-7/8PLOT-85, EMAKER TOWER, G D SOMANI MARG, WORLD TRADE CENTRE, CUFFE Maharashtra, 400005",emp,emp,emp,400005,Maharashtra,Regular,27AADCR7395F1Z0,Maharashtra,India,46_Reliance Brands Limited_C,-116.7,98.9,Nex_B2C_Tra_RL,0,8.9,8.9
20260511,VAR-INV,FC-I-A00431-FY27,FC-I-A00431-FY27,Commerce India,Invoice for Transaction Fees & charges for the month of April-26 for Nexus Storefront - PPD,REGAL BRANDS PRIVATE LIMITED,"First Floor, New Era House Mogul Lane, Matunga West Mumbai, Mumbai, Maharashtra, 400016",emp,emp,emp,400016,Maharashtra,Regular,27AANCR1479C1Z7,Maharashtra,India,1137_Regal Brands Private Limited_C,-2095.27,1775.65,Nex_B2C_Tra_CI,0,159.81,159.81
